编号,功能/操作,老SDK实现,新SDK状态,差异描述,影响级别,修复建议
1,获取Studio元数据,❌ 无get_studio(),✅ 有 get_repo(...,"studio"),关键GAP:老SDK完全无法查询Studio元数据,Critical,✅ 新SDK已修复
2,列表Studio,❌ 无list_studio(),⚠️ NotImplementedError,两个SDK都不支持(后端API限制),Critical,记录设计决策-不是SDK缺陷
3,删除Studio,❌ 无delete_studio(),⚠️ NotImplementedError,两个SDK都不支持(后端限制),Medium,记录设计决策-不是SDK缺陷
4,创建时License参数,自动映射 (Apache License 2.0→apache-2.0),直接透传SPDX标识符,新SDK移除了映射表,High,建议补充License映射表或完善文档
5,部署时payload参数,无显式支持,✅ 支持传递payload配置,新SDK更灵活,Low,✅ 新SDK改进
6,日志参数一致性,page_num, page_size, keyword, timestamps,参数名一致但默认page_size从100改为50,参数语义相同但默认值改变,Medium,建议调和默认值为100
7,CLI创建命令,modelscope create --repo_type studio --sdk-type,ms repo create --repo-type studio (缺--sdk-type),命令结构不同且缺少SDK参数,High,补充studio特定参数支持
8,CLI部署命令,modelscope studio deploy <studio_id>,ms deploy <repo_id> --repo-type studio,命令路径重组(studio子命令→deploy单独命令),Low,✅ 功能相同 需要迁移文档
9,CLI日志参数名,--page-num,--page (简化),参数名简化,Medium,建议保留--page-num别名兼容
10,CLI设置命令,--display-name --private/--public (参数式),key=value键值对式,设计完全不同,High,需要完善文档和迁移指南
11,Secret删除确认,无确认提示,✅ 有--yes/-y选项,新SDK更安全,Low,✅ 新SDK改进
12,异常类型,InvalidParameter,ValueError,异常类型不同,Medium,文档说明异常类型变化
13,日志提取逻辑,查找logs键,支持logs/items/list/data多个键,新SDK更robust,Low,✅ 新SDK改进
14,Type Hints支持,无显式类型定义,✅ TypedDict类型提示,IDE友好程度,Low,✅ 新SDK改进
15,API路由模式,type-specific方法,统一repo_type参数路由,新SDK架构更清晰,Low,✅ 新SDK改进
